,Developer,Año,Cantidad de Items,Contenido Free
372,Absolutist Ltd,2017,3,100.0
373,Absolutist Ltd.,2009,1,0.0
374,Absolutist Ltd.,2015,6,0.0
375,Absolutist Ltd.,2016,9,33.33
376,Absorb Reality,2015,3,0.0
377,Absorb Reality,2017,6,0.0
378,Absorbed Studios,2017,3,100.0
379,Absortalent Games,2017,2,0.0
380,Abstract Tree Studio,2016,3,0.0
381,Abstraction Games,2014,1,0.0
382,"Abstraction Games,The Bitmap Brothers",2013,1,0.0
383,"Abstraction Games,WayForward",2016,1,0.0
384,Abstractive Works,2016,2,0.0
385,Abyss Studios,2015,3,0.0
386,"Accela,Inc.",2017,1,0.0
387,"Acceleroto, Inc.",2015,1,0.0
388,Access Games,2015,44,0.0
389,Access Software,1989,2,0.0
390,Access Software,1991,1,0.0
391,Access Software,1994,1,0.0
392,Access Software,1996,1,0.0
393,Access Software,1998,1,0.0
394,Accidental Queens,2017,8,0.0
395,Acclaim Cheltenham,1998,1,0.0
396,Acclaim Studios Teeside,1999,1,0.0
397,Accolade,1993,2,0.0
398,"Accolade, Inc",1996,1,0.0
399,"Accolade, Inc.",1996,1,0.0
400,"Accolade, Inc.",1999,3,0.0
401,Acerio Games,2016,4,0.0
402,Achebit,2015,4,0.0
403,Achisoft,2017,3,0.0
404,Achpile,2016,2,0.0
405,Achpile,2017,2,0.0
406,Acid Cat,2016,5,0.0
407,Acid Nerve,2015,3,0.0
408,Ackk Studios,2013,4,0.0
409,Ackmi,2016,5,0.0
410,"Acme Nerd Games, LLC",2017,3,0.0
411,AcneVulgaris,2016,4,0.0
412,"Acoustica, Inc.",2017,3,0.0
413,Acquire,2012,7,0.0
414,Acquire,2016,1,0.0
415,Acquire Corp.,2015,16,0.0
416,"Acquire,Zerodiv",2016,1,0.0
417,"Acram Digital,Mobo Studio",2017,39,15.38
418,"Act 3 Games, LLC",2017,4,50.0
419,ActaLogic,2017,2,0.0
420,Actalogic,2012,1,0.0
421,Actalogic,2013,3,0.0
422,Actalogic,2014,2,0.0
423,"Action Button Entertainment, LLC",2016,3,0.0
424,Activision,1993,1,0.0
425,Activision,1996,1,0.0
426,Activision,1997,1,0.0
427,Activision,2000,1,0.0
428,Actoz Soft,2017,6,100.0
429,Actual Tools,2016,1,0.0
430,Acute Games,2017,4,100.0
431,Acuze Interactives,2017,8,0.0
432,"Acuze Interactives,Winterbyte",2017,3,0.0
433,Ad Aspera,2017,2,0.0
434,Adage Games,2017,2,0.0
435,Adam DeLease,2015,3,0.0
436,Adam DeLease,2016,2,0.0
437,Adam DeLease,2017,6,0.0
438,Adam Foster,2013,2,100.0
439,Adam Hebert,2017,4,0.0
440,Adam John Adkins,2017,2,0.0
441,"Adam McLellan,Ricardo Chirino",2016,5,0.0
442,Adam Mowery,2015,3,0.0
443,"Adam Saltsman,Robin Arnott",2012,1,0.0
444,Adam Spragg,2014,2,0.0
445,Adam Tarnowski,2015,3,0.0
446,Adam Tarnowski,2017,1,0.0
447,Adam Thompson,2017,3,0.0
448,Adam Wells,2016,2,0.0
449,Adaptive Game,2015,3,0.0
450,"Adept Studios GD,Alawar Entertainment",2016,1,0.0
451,Adham Jaber,2016,3,0.0
452,Adhoc Games,2015,7,0.0
453,Adhoc Games,2016,3,100.0
454,Aditya Yadav,2017,3,0.0
455,"Adriaan de Jongh,Sylvain Tegroeg",2017,3,0.0
456,AdroVGames,2016,6,0.0
457,Aduge Studio,2016,3,0.0
458,Advent RPG,2016,7,0.0
459,"Adventure Mob,Corbomite Games",2016,7,0.0
460,"Adventure Productions,10th Art Studio",2015,2,0.0
461,Adventurepro Games LLC,2014,4,0.0
462,Adventurepro Games LLC,2017,4,0.0
463,Adventurous Productions,2015,3,0.0
464,Aegon Games,2015,2,0.0
465,Aegon Games Ltd,2016,2,0.0
466,Aegon Games Ltd,2017,2,0.0
467,Aeon Dream Studios,2016,33,12.12
468,Aeon Dream Studios,2017,8,0.0
469,Aeonic Entertainment,2016,4,0.0
470,Aerilon Studios,2017,4,0.0
471,Aeroplane Heaven,2015,1,0.0
472,Aeroplane Heaven,2016,1,0.0
473,Aerosoft GmbH,2012,1,0.0
474,Aerosoft GmbH,2013,1,0.0
475,Aerosoft GmbH,2015,7,0.0
476,Aerosoft GmbH,2016,8,0.0
477,Aerosoft GmbH,2017,4,0.0
478,"Aerosoft GmbH,Stairport Sceneries",2017,1,0.0
479,"Aerosoft,Caipirinha Games",2017,1,0.0
480,Aesir Interactive,2016,2,0.0
481,Aesir Interactive,2017,2,0.0
482,Aetheric Games,2017,2,0.0
483,AfroDieter,2017,3,0.0
484,Afrobeast Games,2016,1,0.0
485,After Death Team,2017,3,0.0
486,Afterlife Games,2016,4,0.0
487,Afterthought LLC,2015,6,0.0
488,Afterthought Studios,2015,4,0.0
489,Afterthought Studios,2016,3,0.0
490,Afterthought Studios,2017,16,0.0
491,Agar3s,2017,1,0.0
492,"Agency Principle,Purple Pwny Studios",2017,1,0.0
493,Ageod,2011,5,0.0
494,Ageod,2012,3,0.0
495,Ageod,2013,5,0.0
496,Ageod,2014,8,0.0
497,Ageod,2015,7,0.0
498,"Ageod,HQ",2015,2,0.0
499,Aggressive Combustion,2017,2,0.0
500,Aggroblakh,2016,3,0.0
501,Aggroblakh,2017,3,0.0
502,Agharta Studio,2013,3,0.0
503,Aghayeva and Ko s.r.o.,2017,4,0.0
504,Agrostemma,2016,2,0.0
505,AirWave Games,2017,3,0.0
506,Airborne Games,2017,4,0.0
507,Airship Syndicate,2017,4,0.0
508,Airtight Games,2010,2,0.0
509,Airtight Games,2012,9,0.0
510,Airtight Games,2014,3,0.0
511,Airwolt,2016,3,0.0
512,Aist,2016,6,0.0
513,Aivaras Ivoškus,2016,3,0.0
514,Aivaras Klimas,2016,2,0.0
515,Akakiy Petrushkin,2015,2,0.0
516,Akakiy Petrushkin,2016,3,0.0
517,Akella,2014,2,0.0
518,"Akella,.dat",2010,2,0.0
519,"Akella,.dat",2011,1,0.0
520,Akimbo Creations,2017,3,0.0
521,Akonta band,2017,2,0.0
522,Akumu Games,2016,4,0.0
523,Akumu Games,2017,2,0.0
524,AlPixel Games,2015,2,0.0
525,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason",2015,4,100.0
526,Alabeo,2015,5,0.0
527,Alabeo,2016,3,0.0
528,Alabeo,2017,1,0.0
529,Alain Perrin,2017,1,0.0
530,Alakhaine Specialist Consulting Limited,2017,4,0.0
531,Alan Edwardes,2014,4,100.0
532,Alan Edwardes,2017,5,100.0
533,"Alan Hazelden,Benjamin Davis",2015,1,0.0
534,"Alan Hazelden,Harry Lee",2014,1,0.0
535,Alan Zucconi,2015,4,0.0
536,"Alasdair Beckett-King,Application Systems Heidelberg",2016,2,0.0
537,Alastair John Jack,2014,2,0.0
538,Alawar,2007,1,0.0
539,Alawar,2008,1,0.0
540,Alawar,2009,2,0.0
541,Alawar,2010,1,0.0
542,Alawar,2012,2,0.0
543,Alawar,2013,4,0.0
544,Alawar,2014,2,0.0
545,Alawar,2015,6,0.0
546,Alawar,2016,2,0.0
547,Alawar Dreamdale,2013,2,0.0
548,Alawar Entertainment,2011,11,0.0
549,Alawar Entertainment,2013,12,0.0
550,Alawar Entertainment,2014,3,0.0
551,Alawar Entertainment,2015,9,0.0
552,Alawar Entertainment,2016,3,0.0
553,Alawar Entertainment,2017,2,0.0
554,"Alawar Entertainment,Amegami",2013,3,0.0
555,"Alawar Entertainment,Toyman Interactive",2013,3,0.0
556,Alawar Five-BN,2013,2,0.0
557,Alawar Friday's Games,2014,3,0.0
558,Alawar Stargaze,2011,2,0.0
559,Alawar Stargaze,2013,3,0.0
560,Alawar Stargaze,2016,2,0.0
561,"Alawar Stargaze,Alawar Entertainment",2015,7,0.0
562,"Alawar,Mirball Games",2013,2,0.0
563,"Alawar,Whalebox Studio",2014,3,0.0
564,Albatros Softworks,2017,17,35.29
565,Albatross Wirehead,2017,3,0.0
566,Alberto Santiago,2017,3,0.0
567,Albin Bernhardsson,2017,2,0.0
568,Alchemist Studio,2016,2,0.0
569,AlcoholEnthusiast,2017,3,0.0
570,Alda Games,2015,4,0.0
571,Alder Games,2012,2,0.0
572,Alder Games,2013,2,0.0
573,Alder Games,2017,10,0.0
574,Aldorlea Games,2010,4,0.0
575,Aldorlea Games,2014,26,0.0
576,Aldorlea Games,2015,79,0.0
577,Aldorlea Games,2016,18,0.0
578,Aldorlea Games,2017,23,0.0
579,Alec Smith,2015,2,0.0
580,"Alec Smith,Dane Winn",2016,2,0.0
581,Aleksandar Dakic,2017,3,0.0
582,Aleksandar Kuzmanovic Games,2017,3,0.0
583,Aleksander Ciesielski,2015,3,0.0
584,Aleksandr Golovkin,2017,2,0.0
585,Aleksandr Kotukhov,2017,2,0.0
586,"Aleksandr Soldatov,Leonid Kozhushko",2017,3,66.67
587,Alekseev,2016,2,0.0
588,Alekseev,2017,2,0.0
589,Aleksey Abramenko,2012,2,0.0
590,Alessandro Guzzo,2017,2,0.0
591,Alex Hall,2017,3,0.0
592,Alex Hanson-White,2016,3,0.0
593,Alex Jedraszczak,2014,2,0.0
594,Alex Piola,2015,3,0.0
595,Alex Williams,2016,2,100.0
596,Alex Woodcock,2015,3,0.0
597,Alex Zhang,2015,2,0.0
598,Alex's Daddy,2017,1,0.0
599,AlexHoratio,2015,2,0.0
600,"Alexander Ahura,Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,4,0.0
601,Alexander Benedict,2017,4,0.0
602,Alexander Bruce,2013,2,0.0
603,Alexander Byzov,2015,12,0.0
604,Alexander Byzov,2016,18,0.0
605,Alexander Byzov,2017,27,0.0
606,Alexander Goodwin,2017,2,0.0
607,Alexander Kov,2016,3,0.0
608,Alexander Mirdzveli,2015,3,0.0
609,Alexander Shvab,2017,3,0.0
610,Alexander Spillman,2017,2,0.0
611,Alexandr Kataev,2016,3,0.0
612,"Alexandr Lavelin,Evgeny Shcherbakov",2016,4,0.0
613,Alexandr Shvab,2017,1,0.0
614,"Alexandru C.,Vector 7",2017,5,0.0
615,"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,8,0.0
616,"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2017,4,0.0
617,"Alexey Bokulev,Snowbird Games",2009,2,0.0
618,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2015,7,0.0
619,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,4,0.0
620,Alexey Glinskiy,2016,4,0.0
621,Alexey Glinskiy,2017,22,0.0
622,Alexey Kargin,2017,2,0.0
623,"Alexey Khazov,Cristian Ionescu,Lars van Dorenvanck,Brandon van Doorn,Joran Vergoessen,Admir Leka",2016,3,0.0
624,Alexey Roenko,2016,3,0.0
625,Alexey Volonsky,2017,11,0.0
626,Alfred Lam,2012,2,0.0
627,Aliasworlds Entertainment,2009,1,0.0
628,"Aliasworlds,Amegami,Rionix,Melesta",2016,1,0.0
629,Alice &amp; Smith,2015,15,0.0
630,Alice &amp; Smith,2016,11,0.0
631,Alice &amp; Smith,2017,8,50.0
632,Alien Jellyfish,2017,4,0.0
633,Alien Mind,2017,1,0.0
634,Alien Octopus Studio,2013,3,0.0
635,Alien Pixel Studios,2016,6,50.0
636,Alien Sync Interactive,2015,2,0.0
637,Alientrap,2011,2,0.0
638,Alientrap,2015,15,20.0
639,Alientrap,2017,11,0.0
640,AlikArt Studio,2015,2,0.0
641,Alina Digital,2016,6,50.0
642,Alina Digital,2017,2,0.0
643,Alister Software,2015,2,0.0
644,Alister Software,2016,2,0.0
645,Alister Software,2017,2,0.0
646,Alkemi,2015,3,0.0
647,Alkemi,2017,3,0.0
648,All Aboard,2009,2,0.0
649,All Aboard,2010,1,0.0
650,All Aboard,2012,1,0.0
651,All Civilized Planets,2015,2,0.0
652,All Seeing Eye Games,2015,3,0.0
653,All Seeing Eye Games,2016,4,0.0
654,All Seeing Eye Games,2017,2,0.0
655,All Those Moments,2017,3,0.0
656,"AllSol,Unknown Hero",2017,2,0.0
657,Allegorithmic,2014,6,0.0
658,Allegorithmic,2016,1,0.0
659,Allegorithmic,2017,6,0.0
660,"Allegorithmic,The Foundry",2016,2,100.0
661,Allen Dayan,2016,2,0.0
662,Allgraf,2013,3,0.0
663,Allicorn Games,2015,4,0.0
664,Allied Games Inc.,2016,3,0.0
665,Allods Team,2017,27,22.22
666,"Allods Team,Mail.Ru Group",2009,3,0.0
667,Allusio,2016,3,0.0
668,Almighty Games,2016,2,0.0
669,Almighty Games,2017,3,0.0
670,Almost Human Games,2012,3,0.0
671,Almost Human Games,2014,3,0.0
672,"Alonzu,@alonzubin",2016,3,0.0
673,Alp Güleç,2016,4,0.0
674,Alpha Pack Studios,2017,3,0.0
675,Alpha Strike Games Limited,2017,5,0.0
676,Alpha Wave Entertainment,2016,3,0.0
