,Desarrollador,sentiment_analysis
309,Facepunch Studios,2
310,Facepunch Studios,2
312,Facepunch Studios,2
313,Facepunch Studios,2
314,Facepunch Studios,2
315,Facepunch Studios,2
316,Facepunch Studios,2
317,Facepunch Studios,2
318,Facepunch Studios,2
319,Facepunch Studios,2
320,Facepunch Studios,2
321,Facepunch Studios,2
322,Facepunch Studios,0
324,Facepunch Studios,2
325,Facepunch Studios,2
326,Facepunch Studios,2
327,Facepunch Studios,0
328,Facepunch Studios,2
329,Facepunch Studios,2
330,Facepunch Studios,0
331,Facepunch Studios,2
332,Facepunch Studios,2
333,Facepunch Studios,2
334,Facepunch Studios,0
335,Facepunch Studios,2
336,Facepunch Studios,2
337,Facepunch Studios,2
338,Facepunch Studios,2
339,Facepunch Studios,2
340,Facepunch Studios,2
341,Facepunch Studios,2
342,Facepunch Studios,2
344,Facepunch Studios,2
345,Facepunch Studios,2
346,Facepunch Studios,2
347,Facepunch Studios,2
348,Facepunch Studios,2
349,Facepunch Studios,2
350,Facepunch Studios,2
351,Facepunch Studios,2
352,Facepunch Studios,2
353,Facepunch Studios,2
356,Facepunch Studios,2
358,Facepunch Studios,2
361,Facepunch Studios,2
362,Facepunch Studios,2
363,Facepunch Studios,2
364,Facepunch Studios,2
365,Facepunch Studios,2
366,Facepunch Studios,2
367,Facepunch Studios,2
369,Facepunch Studios,2
370,Facepunch Studios,2
371,Facepunch Studios,2
372,Facepunch Studios,2
375,Facepunch Studios,0
376,Facepunch Studios,2
378,Facepunch Studios,2
379,Facepunch Studios,2
380,Facepunch Studios,2
385,Facepunch Studios,2
386,Facepunch Studios,2
387,Facepunch Studios,2
393,Facepunch Studios,2
394,Facepunch Studios,2
396,Facepunch Studios,0
400,Facepunch Studios,2
401,Facepunch Studios,2
402,Facepunch Studios,2
403,Facepunch Studios,2
404,Facepunch Studios,2
405,Facepunch Studios,2
406,Facepunch Studios,2
409,Facepunch Studios,2
414,Facepunch Studios,2
415,Facepunch Studios,2
416,Facepunch Studios,2
417,Facepunch Studios,2
418,Facepunch Studios,2
419,Facepunch Studios,2
420,Facepunch Studios,0
423,Facepunch Studios,2
424,Facepunch Studios,2
425,Facepunch Studios,2
426,Facepunch Studios,2
427,Facepunch Studios,2
428,Facepunch Studios,2
429,Facepunch Studios,2
433,Facepunch Studios,2
434,Facepunch Studios,2
435,Facepunch Studios,2
437,Facepunch Studios,2
438,Facepunch Studios,0
441,Facepunch Studios,2
444,Facepunch Studios,0
445,Facepunch Studios,0
446,Facepunch Studios,2
447,Facepunch Studios,2
448,Facepunch Studios,2
449,Facepunch Studios,0
451,Facepunch Studios,2
454,Facepunch Studios,2
455,Facepunch Studios,2
456,Facepunch Studios,2
458,Facepunch Studios,2
464,Facepunch Studios,2
466,Facepunch Studios,2
467,Facepunch Studios,2
468,Facepunch Studios,2
471,Facepunch Studios,2
473,Facepunch Studios,2
474,Facepunch Studios,2
476,Facepunch Studios,0
477,Facepunch Studios,2
479,Facepunch Studios,2
480,Facepunch Studios,2
481,Facepunch Studios,2
482,Facepunch Studios,0
486,Facepunch Studios,2
489,Facepunch Studios,2
490,Facepunch Studios,2
491,Facepunch Studios,2
493,Facepunch Studios,2
494,Facepunch Studios,2
495,Facepunch Studios,2
496,Facepunch Studios,2
497,Facepunch Studios,2
498,Facepunch Studios,2
501,Facepunch Studios,2
502,Facepunch Studios,2
504,Facepunch Studios,0
505,Facepunch Studios,2
507,Facepunch Studios,2
508,Facepunch Studios,2
509,Facepunch Studios,2
510,Facepunch Studios,2
511,Facepunch Studios,2
512,Facepunch Studios,2
513,Facepunch Studios,2
514,Facepunch Studios,2
515,Facepunch Studios,2
516,Facepunch Studios,2
518,Facepunch Studios,2
519,Facepunch Studios,2
520,Facepunch Studios,2
521,Facepunch Studios,2
523,Facepunch Studios,2
524,Facepunch Studios,2
525,Facepunch Studios,2
526,Facepunch Studios,2
527,Facepunch Studios,2
528,Facepunch Studios,2
530,Facepunch Studios,0
531,Facepunch Studios,2
532,Facepunch Studios,2
533,Facepunch Studios,0
534,Facepunch Studios,2
537,Facepunch Studios,2
538,Facepunch Studios,0
539,Facepunch Studios,2
540,Facepunch Studios,2
541,Facepunch Studios,2
543,Facepunch Studios,2
544,Facepunch Studios,2
546,Facepunch Studios,0
547,Facepunch Studios,2
549,Facepunch Studios,2
550,Facepunch Studios,2
551,Facepunch Studios,2
553,Facepunch Studios,2
555,Facepunch Studios,0
556,Facepunch Studios,2
557,Facepunch Studios,2
558,Facepunch Studios,2
559,Facepunch Studios,2
561,Facepunch Studios,2
562,Facepunch Studios,2
563,Facepunch Studios,2
564,Facepunch Studios,2
568,Facepunch Studios,2
569,Facepunch Studios,2
573,Facepunch Studios,2
575,Facepunch Studios,0
576,Facepunch Studios,2
577,Facepunch Studios,2
579,Facepunch Studios,2
580,Facepunch Studios,2
581,Facepunch Studios,0
582,Facepunch Studios,0
583,Facepunch Studios,2
584,Facepunch Studios,2
585,Facepunch Studios,2
587,Facepunch Studios,2
588,Facepunch Studios,2
589,Facepunch Studios,2
590,Facepunch Studios,0
591,Facepunch Studios,2
592,Facepunch Studios,2
594,Facepunch Studios,2
596,Facepunch Studios,2
597,Facepunch Studios,2
598,Facepunch Studios,0
600,Facepunch Studios,2
601,Facepunch Studios,2
602,Facepunch Studios,2
603,Facepunch Studios,2
604,Facepunch Studios,2
605,Facepunch Studios,2
607,Facepunch Studios,2
610,Facepunch Studios,2
611,Facepunch Studios,2
612,Facepunch Studios,0
614,Facepunch Studios,2
616,Facepunch Studios,0
618,Facepunch Studios,2
619,Facepunch Studios,2
621,Facepunch Studios,2
622,Facepunch Studios,2
623,Facepunch Studios,2
626,Facepunch Studios,2
627,Facepunch Studios,2
629,Facepunch Studios,2
630,Facepunch Studios,2
631,Facepunch Studios,0
632,Facepunch Studios,2
633,Facepunch Studios,2
635,Facepunch Studios,2
637,Facepunch Studios,2
638,Facepunch Studios,2
639,Facepunch Studios,2
641,Facepunch Studios,2
644,Facepunch Studios,2
645,Facepunch Studios,2
649,Facepunch Studios,2
650,Facepunch Studios,2
651,Facepunch Studios,2
652,Facepunch Studios,2
653,Facepunch Studios,2
655,Facepunch Studios,2
657,Facepunch Studios,2
658,Facepunch Studios,2
659,Facepunch Studios,2
660,Facepunch Studios,2
661,Facepunch Studios,2
662,Facepunch Studios,2
665,Facepunch Studios,2
667,Facepunch Studios,0
670,Facepunch Studios,2
671,Facepunch Studios,2
672,Facepunch Studios,2
674,Facepunch Studios,2
675,Facepunch Studios,2
676,Facepunch Studios,2
677,Facepunch Studios,2
678,Facepunch Studios,0
679,Facepunch Studios,2
680,Facepunch Studios,2
681,Facepunch Studios,0
682,Facepunch Studios,2
683,Facepunch Studios,2
684,Facepunch Studios,2
685,Facepunch Studios,2
686,Facepunch Studios,2
688,Facepunch Studios,2
689,Facepunch Studios,2
690,Facepunch Studios,2
694,Facepunch Studios,2
696,Facepunch Studios,2
699,Facepunch Studios,2
700,Facepunch Studios,0
701,Facepunch Studios,2
702,Facepunch Studios,2
706,Facepunch Studios,2
707,Facepunch Studios,2
709,Facepunch Studios,2
710,Facepunch Studios,2
711,Facepunch Studios,2
712,Facepunch Studios,2
713,Facepunch Studios,2
714,Facepunch Studios,2
715,Facepunch Studios,2
717,Facepunch Studios,2
718,Facepunch Studios,2
719,Facepunch Studios,2
722,Facepunch Studios,2
724,Facepunch Studios,2
725,Facepunch Studios,2
726,Facepunch Studios,2
727,Facepunch Studios,0
728,Facepunch Studios,2
729,Facepunch Studios,0
730,Facepunch Studios,2
733,Facepunch Studios,2
735,Facepunch Studios,2
736,Facepunch Studios,2
737,Facepunch Studios,2
738,Facepunch Studios,2
739,Facepunch Studios,2
741,Facepunch Studios,2
742,Facepunch Studios,2
743,Facepunch Studios,2
744,Facepunch Studios,2
746,Facepunch Studios,2
748,Facepunch Studios,2
749,Facepunch Studios,2
751,Facepunch Studios,2
752,Facepunch Studios,2
754,Facepunch Studios,2
755,Facepunch Studios,2
756,Facepunch Studios,0
758,Facepunch Studios,2
759,Facepunch Studios,2
760,Facepunch Studios,0
761,Facepunch Studios,2
762,Facepunch Studios,2
763,Facepunch Studios,2
765,Facepunch Studios,2
766,Facepunch Studios,2
767,Facepunch Studios,2
768,Facepunch Studios,2
769,Facepunch Studios,0
770,Facepunch Studios,2
771,Facepunch Studios,2
772,Facepunch Studios,2
773,Facepunch Studios,2
774,Facepunch Studios,2
776,Facepunch Studios,2
777,Facepunch Studios,0
779,Facepunch Studios,2
780,Facepunch Studios,2
781,Facepunch Studios,2
782,Facepunch Studios,2
785,Facepunch Studios,2
787,Facepunch Studios,2
788,Facepunch Studios,2
789,Facepunch Studios,2
791,Facepunch Studios,0
793,Facepunch Studios,2
796,Facepunch Studios,2
797,Facepunch Studios,2
798,Facepunch Studios,2
799,Facepunch Studios,2
800,Facepunch Studios,2
802,Facepunch Studios,2
804,Facepunch Studios,0
805,Facepunch Studios,2
806,Facepunch Studios,2
807,Facepunch Studios,2
808,Facepunch Studios,2
810,Facepunch Studios,2
811,Facepunch Studios,2
812,Facepunch Studios,0
813,Facepunch Studios,2
814,Facepunch Studios,2
815,Facepunch Studios,2
817,Facepunch Studios,2
818,Facepunch Studios,2
820,Facepunch Studios,2
821,Facepunch Studios,2
822,Facepunch Studios,2
823,Facepunch Studios,2
825,Facepunch Studios,2
828,Facepunch Studios,2
829,Facepunch Studios,2
830,Facepunch Studios,2
831,Facepunch Studios,2
832,Facepunch Studios,2
833,Facepunch Studios,2
834,Facepunch Studios,2
837,Facepunch Studios,2
838,Facepunch Studios,2
839,Facepunch Studios,2
842,Facepunch Studios,2
843,Facepunch Studios,2
845,Facepunch Studios,2
846,Facepunch Studios,2
849,Facepunch Studios,2
852,Facepunch Studios,2
853,Facepunch Studios,2
854,Facepunch Studios,2
855,Facepunch Studios,2
857,Facepunch Studios,2
858,Facepunch Studios,2
861,Facepunch Studios,2
862,Facepunch Studios,2
863,Facepunch Studios,2
864,Facepunch Studios,2
866,Facepunch Studios,2
867,Facepunch Studios,0
869,Facepunch Studios,2
871,Facepunch Studios,2
872,Facepunch Studios,2
874,Facepunch Studios,2
875,Facepunch Studios,0
876,Facepunch Studios,2
877,Facepunch Studios,0
878,Facepunch Studios,2
879,Facepunch Studios,2
881,Facepunch Studios,2
882,Facepunch Studios,2
883,Facepunch Studios,2
884,Facepunch Studios,0
885,Facepunch Studios,2
886,Facepunch Studios,2
888,Facepunch Studios,2
889,Facepunch Studios,2
891,Facepunch Studios,0
892,Facepunch Studios,2
893,Facepunch Studios,2
895,Facepunch Studios,2
896,Facepunch Studios,2
897,Facepunch Studios,2
898,Facepunch Studios,2
899,Facepunch Studios,2
900,Facepunch Studios,2
901,Facepunch Studios,2
902,Facepunch Studios,2
903,Facepunch Studios,2
905,Facepunch Studios,2
906,Facepunch Studios,2
907,Facepunch Studios,2
908,Facepunch Studios,0
910,Facepunch Studios,0
911,Facepunch Studios,2
912,Facepunch Studios,0
913,Facepunch Studios,2
914,Facepunch Studios,2
915,Facepunch Studios,2
916,Facepunch Studios,2
920,Facepunch Studios,2
921,Facepunch Studios,2
922,Facepunch Studios,2
923,Facepunch Studios,2
924,Facepunch Studios,2
925,Facepunch Studios,2
926,Facepunch Studios,2
927,Facepunch Studios,2
928,Facepunch Studios,0
929,Facepunch Studios,0
931,Facepunch Studios,2
932,Facepunch Studios,0
933,Facepunch Studios,0
934,Facepunch Studios,2
936,Facepunch Studios,2
937,Facepunch Studios,2
938,Facepunch Studios,0
939,Facepunch Studios,2
940,Facepunch Studios,2
941,Facepunch Studios,2
942,Facepunch Studios,2
943,Facepunch Studios,2
945,Facepunch Studios,2
946,Facepunch Studios,2
947,Facepunch Studios,2
948,Facepunch Studios,2
949,Facepunch Studios,2
953,Facepunch Studios,2
954,Facepunch Studios,0
957,Facepunch Studios,2
959,Facepunch Studios,2
960,Facepunch Studios,2
961,Facepunch Studios,2
964,Facepunch Studios,0
965,Facepunch Studios,2
966,Facepunch Studios,2
967,Facepunch Studios,2
968,Facepunch Studios,2
969,Facepunch Studios,2
970,Facepunch Studios,2
971,Facepunch Studios,2
972,Facepunch Studios,2
974,Facepunch Studios,2
979,Facepunch Studios,0
980,Facepunch Studios,2
981,Facepunch Studios,2
983,Facepunch Studios,2
984,Facepunch Studios,2
986,Facepunch Studios,2
987,Facepunch Studios,2
988,Facepunch Studios,2
989,Facepunch Studios,2
990,Facepunch Studios,2
991,Facepunch Studios,2
992,Facepunch Studios,2
993,Facepunch Studios,2
994,Facepunch Studios,2
996,Facepunch Studios,2
997,Facepunch Studios,2
998,Facepunch Studios,0
999,Facepunch Studios,2
1001,Facepunch Studios,2
1002,Facepunch Studios,2
1004,Facepunch Studios,2
1005,Facepunch Studios,0
1006,Facepunch Studios,2
1008,Facepunch Studios,2
1010,Facepunch Studios,2
1011,Facepunch Studios,2
1012,Facepunch Studios,2
1013,Facepunch Studios,2
1014,Facepunch Studios,2
1015,Facepunch Studios,2
1017,Facepunch Studios,2
1018,Facepunch Studios,2
1022,Facepunch Studios,2
1025,Facepunch Studios,2
1026,Facepunch Studios,0
1027,Facepunch Studios,2
1028,Facepunch Studios,2
1030,Facepunch Studios,2
1031,Facepunch Studios,2
1032,Facepunch Studios,2
1033,Facepunch Studios,2
1035,Facepunch Studios,2
1036,Facepunch Studios,2
1037,Facepunch Studios,0
1039,Facepunch Studios,2
1040,Facepunch Studios,2
1042,Facepunch Studios,2
1043,Facepunch Studios,2
1044,Facepunch Studios,0
1045,Facepunch Studios,2
1046,Facepunch Studios,2
1047,Facepunch Studios,2
1049,Facepunch Studios,2
1050,Facepunch Studios,2
1052,Facepunch Studios,2
1053,Facepunch Studios,2
1055,Facepunch Studios,2
1056,Facepunch Studios,2
1057,Facepunch Studios,2
1058,Facepunch Studios,2
1059,Facepunch Studios,0
1060,Facepunch Studios,0
1061,Facepunch Studios,2
1062,Facepunch Studios,2
1064,Facepunch Studios,2
1066,Facepunch Studios,2
1068,Facepunch Studios,2
1069,Facepunch Studios,2
1070,Facepunch Studios,2
1071,Facepunch Studios,2
1073,Facepunch Studios,2
1074,Facepunch Studios,2
1075,Facepunch Studios,2
1076,Facepunch Studios,2
1078,Facepunch Studios,2
1079,Facepunch Studios,2
1081,Facepunch Studios,2
1082,Facepunch Studios,0
1083,Facepunch Studios,2
1084,Facepunch Studios,2
1085,Facepunch Studios,2
1086,Facepunch Studios,2
1087,Facepunch Studios,2
1093,Facepunch Studios,2
1094,Facepunch Studios,0
1096,Facepunch Studios,2
1097,Facepunch Studios,2
1098,Facepunch Studios,2
1099,Facepunch Studios,2
1100,Facepunch Studios,0
1101,Facepunch Studios,2
1104,Facepunch Studios,2
1105,Facepunch Studios,2
1106,Facepunch Studios,2
1107,Facepunch Studios,2
1108,Facepunch Studios,2
1110,Facepunch Studios,2
1111,Facepunch Studios,2
1112,Facepunch Studios,2
1113,Facepunch Studios,2
1115,Facepunch Studios,2
1117,Facepunch Studios,2
1118,Facepunch Studios,2
1119,Facepunch Studios,2
1120,Facepunch Studios,2
1121,Facepunch Studios,2
1122,Facepunch Studios,2
1123,Facepunch Studios,2
1124,Facepunch Studios,2
1125,Facepunch Studios,2
1126,Facepunch Studios,0
1127,Facepunch Studios,2
1128,Facepunch Studios,0
1129,Facepunch Studios,2
1130,Facepunch Studios,2
1131,Facepunch Studios,2
1132,Facepunch Studios,2
1133,Facepunch Studios,2
1134,Facepunch Studios,2
1136,Facepunch Studios,2
1137,Facepunch Studios,2
1138,Facepunch Studios,0
1139,Facepunch Studios,2
1140,Facepunch Studios,2
1141,Facepunch Studios,2
1142,Facepunch Studios,0
1143,Facepunch Studios,2
1144,Facepunch Studios,2
1145,Facepunch Studios,2
1148,Facepunch Studios,2
1149,Facepunch Studios,2
1151,Facepunch Studios,0
1152,Facepunch Studios,2
1153,Facepunch Studios,2
1154,Facepunch Studios,2
1156,Facepunch Studios,2
1157,Facepunch Studios,2
1158,Facepunch Studios,2
1159,Facepunch Studios,2
1162,Facepunch Studios,2
1163,Facepunch Studios,2
1164,Facepunch Studios,2
1165,Facepunch Studios,2
1166,Facepunch Studios,2
1167,Facepunch Studios,2
1168,Facepunch Studios,2
1169,Facepunch Studios,2
1170,Facepunch Studios,2
1171,Facepunch Studios,2
1172,Facepunch Studios,2
1173,Facepunch Studios,2
1174,Facepunch Studios,2
1175,Facepunch Studios,0
1176,Facepunch Studios,2
1177,Facepunch Studios,2
1178,Facepunch Studios,2
1179,Facepunch Studios,2
1184,Facepunch Studios,2
1185,Facepunch Studios,0
1186,Facepunch Studios,0
1187,Facepunch Studios,2
1190,Facepunch Studios,2
1192,Facepunch Studios,2
1195,Facepunch Studios,2
1196,Facepunch Studios,2
1197,Facepunch Studios,0
1198,Facepunch Studios,2
1200,Facepunch Studios,2
1202,Facepunch Studios,2
1204,Facepunch Studios,2
1205,Facepunch Studios,2
1206,Facepunch Studios,2
1208,Facepunch Studios,2
1209,Facepunch Studios,2
1210,Facepunch Studios,2
1211,Facepunch Studios,2
1212,Facepunch Studios,2
1214,Facepunch Studios,2
1215,Facepunch Studios,2
1216,Facepunch Studios,2
1217,Facepunch Studios,2
1219,Facepunch Studios,2
1223,Facepunch Studios,0
1224,Facepunch Studios,2
1225,Facepunch Studios,2
1227,Facepunch Studios,2
1228,Facepunch Studios,2
1229,Facepunch Studios,2
1231,Facepunch Studios,2
1233,Facepunch Studios,2
1235,Facepunch Studios,0
1236,Facepunch Studios,2
1237,Facepunch Studios,2
1238,Facepunch Studios,2
1240,Facepunch Studios,2
1241,Facepunch Studios,2
1242,Facepunch Studios,2
1243,Facepunch Studios,2
1244,Facepunch Studios,2
1245,Facepunch Studios,2
1246,Facepunch Studios,2
1249,Facepunch Studios,2
1250,Facepunch Studios,2
1251,Facepunch Studios,2
1252,Facepunch Studios,2
1254,Facepunch Studios,0
1255,Facepunch Studios,2
1258,Facepunch Studios,0
1260,Facepunch Studios,2
1261,Facepunch Studios,2
1262,Facepunch Studios,0
1263,Facepunch Studios,2
1264,Facepunch Studios,0
1265,Facepunch Studios,2
1266,Facepunch Studios,2
1269,Facepunch Studios,2
1271,Facepunch Studios,0
1272,Facepunch Studios,2
1273,Facepunch Studios,2
1274,Facepunch Studios,2
1277,Facepunch Studios,2
1278,Facepunch Studios,2
1282,Facepunch Studios,2
1283,Facepunch Studios,2
1284,Facepunch Studios,2
1285,Facepunch Studios,2
1286,Facepunch Studios,2
1287,Facepunch Studios,2
1288,Facepunch Studios,2
1289,Facepunch Studios,2
1291,Facepunch Studios,2
1292,Facepunch Studios,2
1294,Facepunch Studios,2
1295,Facepunch Studios,2
1296,Facepunch Studios,2
1298,Facepunch Studios,2
1300,Facepunch Studios,2
1302,Facepunch Studios,2
1303,Facepunch Studios,2
1305,Facepunch Studios,2
1306,Facepunch Studios,0
1307,Facepunch Studios,2
1308,Facepunch Studios,2
1309,Facepunch Studios,2
1310,Facepunch Studios,2
1311,Facepunch Studios,2
1313,Facepunch Studios,2
1314,Facepunch Studios,2
1315,Facepunch Studios,2
1316,Facepunch Studios,2
1317,Facepunch Studios,2
1318,Facepunch Studios,2
1319,Facepunch Studios,2
1320,Facepunch Studios,2
1321,Facepunch Studios,2
1322,Facepunch Studios,2
1323,Facepunch Studios,0
1325,Facepunch Studios,2
1326,Facepunch Studios,2
1327,Facepunch Studios,2
1328,Facepunch Studios,0
1329,Facepunch Studios,2
1330,Facepunch Studios,2
1331,Facepunch Studios,0
1332,Facepunch Studios,2
1333,Facepunch Studios,2
1334,Facepunch Studios,2
1335,Facepunch Studios,0
1336,Facepunch Studios,2
1337,Facepunch Studios,2
1338,Facepunch Studios,2
1339,Facepunch Studios,2
1340,Facepunch Studios,2
1341,Facepunch Studios,2
1342,Facepunch Studios,2
1343,Facepunch Studios,2
1345,Facepunch Studios,2
1346,Facepunch Studios,2
1347,Facepunch Studios,2
1348,Facepunch Studios,2
1349,Facepunch Studios,2
1350,Facepunch Studios,2
1351,Facepunch Studios,2
1352,Facepunch Studios,2
1353,Facepunch Studios,2
1354,Facepunch Studios,2
1357,Facepunch Studios,2
1359,Facepunch Studios,2
1362,Facepunch Studios,2
1363,Facepunch Studios,2
1364,Facepunch Studios,2
1365,Facepunch Studios,2
1366,Facepunch Studios,2
1367,Facepunch Studios,2
1368,Facepunch Studios,2
1370,Facepunch Studios,2
1371,Facepunch Studios,2
1372,Facepunch Studios,2
1373,Facepunch Studios,2
1376,Facepunch Studios,0
1377,Facepunch Studios,2
1379,Facepunch Studios,2
1380,Facepunch Studios,2
1381,Facepunch Studios,2
1386,Facepunch Studios,2
1387,Facepunch Studios,2
1388,Facepunch Studios,2
1394,Facepunch Studios,2
1395,Facepunch Studios,2
1397,Facepunch Studios,0
1401,Facepunch Studios,2
1402,Facepunch Studios,2
1403,Facepunch Studios,2
1404,Facepunch Studios,2
1405,Facepunch Studios,2
1406,Facepunch Studios,2
1407,Facepunch Studios,2
1410,Facepunch Studios,2
1415,Facepunch Studios,2
1416,Facepunch Studios,2
1417,Facepunch Studios,2
1418,Facepunch Studios,2
1419,Facepunch Studios,2
1420,Facepunch Studios,2
1421,Facepunch Studios,0
1424,Facepunch Studios,2
1425,Facepunch Studios,2
1426,Facepunch Studios,2
1427,Facepunch Studios,2
1428,Facepunch Studios,2
1429,Facepunch Studios,2
1430,Facepunch Studios,2
1434,Facepunch Studios,2
1435,Facepunch Studios,2
1436,Facepunch Studios,2
1438,Facepunch Studios,2
1439,Facepunch Studios,0
1442,Facepunch Studios,2
1445,Facepunch Studios,0
1446,Facepunch Studios,0
1447,Facepunch Studios,2
1448,Facepunch Studios,2
1449,Facepunch Studios,2
1450,Facepunch Studios,0
1452,Facepunch Studios,2
1455,Facepunch Studios,2
1456,Facepunch Studios,2
1457,Facepunch Studios,2
